City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Bambous Virieux,MU,-20.3428,57.7575,76.21,88,75,17.27,light intensity shower rain
250,Bobcaygeon,CA,44.5462,-78.542,59.88,56,99,5.99,overcast clouds
251,Isangel,VU,-19.55,169.2667,79.74,72,3,10.27,clear sky
252,Puerto Leguizamo,CO,-0.1934,-74.7819,71.65,99,100,1.03,overcast clouds
253,Hofn,IS,64.2539,-15.2082,41.86,76,82,18.84,broken clouds
254,Kruisfontein,ZA,-34.0033,24.7314,62.87,54,3,5.61,clear sky
255,Broome,US,42.2506,-75.833,65.17,35,0,5.75,clear sky
256,Belica,BG,41.9569,23.5725,45.25,88,53,3.31,broken clouds
257,Gedo,ET,9.0167,37.45,56.8,35,79,2.28,broken clouds
258,Okahandja,NA,-21.9833,16.9167,59.31,34,0,8.84,clear sky
259,Sikonge,TZ,-5.6333,32.7667,65.7,71,77,6.29,broken clouds
260,Garowe,SO,8.4054,48.4845,83.05,63,2,12.86,clear sky
261,Berlevag,NO,70.8578,29.0864,33.6,87,100,13.0,light snow
262,Port-Gentil,GA,-0.7193,8.7815,82.36,89,75,3.44,thunderstorm
263,Brainerd,US,46.358,-94.2008,66.49,30,0,4.61,clear sky
264,San Cristobal,VE,7.7669,-72.225,77.18,80,100,4.29,overcast clouds
265,Opuwo,NA,-18.0607,13.84,64.33,37,0,7.94,clear sky
266,Tabora,TZ,-5.0167,32.8,69.01,63,97,6.93,overcast clouds
267,Waipawa,NZ,-41.4122,175.5153,58.98,76,6,1.9,clear sky
268,Fort Nelson,CA,58.8053,-122.7002,54.99,24,75,5.75,shower rain
269,Boca Do Acre,BR,-8.7522,-67.3978,79.84,69,97,1.21,overcast clouds
270,Mahibadhoo,MV,3.7833,72.9667,82.56,77,100,10.98,overcast clouds
271,Ambon,ID,-3.6954,128.1814,77.14,94,40,4.61,scattered clouds
272,Cherskiy,RU,68.75,161.3,33.4,98,92,5.03,overcast clouds
273,Naryan-Mar,RU,67.6713,53.087,16.97,88,96,9.48,overcast clouds
274,Necochea,AR,-38.5473,-58.7368,58.91,66,77,9.6,broken clouds
275,Taoudenni,ML,22.6783,-3.9836,91.26,11,40,10.83,scattered clouds
276,Oktyabrskiy,RU,54.4815,53.471,33.1,73,10,12.91,clear sky
277,Sinnamary,GF,5.3833,-52.95,78.51,88,85,8.63,overcast clouds
278,Burgos,ES,42.3394,-3.7079,48.61,87,36,10.36,scattered clouds
279,Dingle,PH,10.9995,122.6711,77.94,87,80,6.76,broken clouds
280,Bulgan,MN,48.8125,103.5347,35.37,39,100,4.54,overcast clouds
281,Tessalit,ML,20.1986,1.0114,93.47,15,100,7.72,overcast clouds
282,Trinidad,BO,-14.8333,-64.9,80.58,41,2,3.44,clear sky
