Hotels2,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
326,Silawit,PH,75.18,few clouds,16.8789,121.7564,Japi Hotel
332,Kavaratti,IN,84.7,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
333,Aksu,CN,73.29,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
334,Umm Kaddadah,SD,88.11,scattered clouds,13.6017,26.6876,
338,Kathmandu,NP,66.42,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
341,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
342,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
345,Manawar,IN,88.14,clear sky,22.2333,75.0833,Despojal
348,Banff,CA,61.83,overcast clouds,51.1762,-115.5698,Banff Aspen Lodge
350,Bandarbeyla,SO,80.74,clear sky,9.4942,50.8122,JABIR HOTEL
352,Mamallapuram,IN,86.05,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
355,Rawson,AR,62.76,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
357,Auki,SB,82.71,clear sky,-8.7676,160.7034,Auki Motel
358,Jacareacanga,BR,74.84,heavy intensity rain,-6.2222,-57.7528,Casa do Ian😎
359,Barmer,IN,82.94,few clouds,25.75,71.3833,Jain Dharamshala
360,Charters Towers,AU,72.01,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
362,Bella Vista,US,63.5,mist,36.4295,-94.2316,The Inn at Bella Vista
363,Craig,US,64.35,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
368,Inhambane,MZ,68.7,clear sky,-23.865,35.3833,Oceano
369,Lompoc,US,83.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
370,San Policarpo,PH,81.28,overcast clouds,12.1791,125.5072,Agapita M. Nicart
371,Athens,GR,64.18,few clouds,37.9795,23.7162,Safestay Athens
375,Yeppoon,AU,73.18,clear sky,-23.1333,150.7333,Villa Mar Colina
376,Tecoanapa,MX,85.26,overcast clouds,16.5167,-98.75,Hotel Manglares
377,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
379,Puerto Del Rosario,ES,65.95,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
382,Samarai,PG,82.87,broken clouds,-10.6167,150.6667,Nuli Sapi
384,Boende,CD,72.05,light rain,-0.2167,20.8667,
385,Lanzhou,CN,65.12,few clouds,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
386,Warri,NG,78.24,overcast clouds,5.5167,5.75,BON Hotel Delta
