City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,212,Kulhudhuffushi,MV,6.6221,73.07,82.72,75,100,8.05,heavy intensity rain
213,213,Cidreira,BR,-30.1811,-50.2056,64.15,70,46,7.36,scattered clouds
214,214,Geraldton,AU,-28.7667,114.6,57.61,47,0,16.11,clear sky
215,215,Jamame,SO,0.0722,42.7506,76.17,93,76,5.66,broken clouds
216,216,Te Anau,NZ,-45.4167,167.7167,54.75,84,36,1.57,scattered clouds
218,218,Uong Bi,VN,21.0333,106.7833,73.38,78,6,1.72,clear sky
219,219,Gat,IL,31.61,34.7642,63.28,100,56,14.67,broken clouds
220,220,Hutang,CN,31.5333,119.4833,61.68,94,0,4.47,clear sky
221,221,Tabas,IR,33.5959,56.9244,84.42,17,99,9.22,overcast clouds
222,222,Itoman,JP,26.1247,127.6694,73.42,96,75,4.61,broken clouds
223,223,Wanning,CN,18.8003,110.3967,76.46,91,80,4.12,broken clouds
224,224,Namibe,AO,-15.1961,12.1522,78.94,52,3,2.3,clear sky
225,225,Lebu,CL,-37.6167,-73.65,55.29,80,34,5.68,scattered clouds
226,226,Yarada,IN,17.65,83.2667,80.92,78,75,2.3,mist
227,227,Huarmey,PE,-10.0681,-78.1522,69.21,79,54,9.75,broken clouds
228,228,Kaitangata,NZ,-46.2817,169.8464,57.15,72,91,3.31,overcast clouds
229,229,Salamiyah,SY,35.0113,37.0532,55.0,81,57,15.93,broken clouds
230,230,Ituporanga,BR,-27.4144,-49.6025,58.06,87,0,2.37,clear sky
231,231,Lorengau,PG,-2.0226,147.2712,83.23,78,61,5.46,broken clouds
233,233,Fukue,JP,32.6881,128.8419,65.25,86,79,13.85,broken clouds
234,234,Tchollire,CM,8.4022,14.1698,80.42,57,100,2.1,overcast clouds
235,235,Castro,BR,-24.7911,-50.0119,58.78,87,87,3.04,overcast clouds
236,236,Santa Cruz,BO,-17.8,-63.1667,73.45,40,0,3.44,clear sky
239,239,Nhulunbuy,AU,-12.2333,136.7667,83.01,78,40,6.91,scattered clouds
240,240,Kuching,MY,1.55,110.3333,77.22,94,20,2.3,few clouds
241,241,Sorong,ID,-0.8833,131.25,79.2,85,91,5.1,overcast clouds
243,243,Naze,JP,28.3667,129.4833,67.12,93,100,7.09,overcast clouds
245,245,Cabo San Lucas,MX,22.8909,-109.9124,83.61,53,0,8.05,clear sky
246,246,Coquimbo,CL,-29.9533,-71.3436,59.16,83,91,6.08,overcast clouds
248,248,Georgetown,MY,5.4112,100.3354,82.33,92,20,3.44,few clouds
249,249,Bambous Virieux,MU,-20.3428,57.7575,76.21,88,75,17.27,light intensity shower rain
250,250,Bobcaygeon,CA,44.5462,-78.542,59.88,56,99,5.99,overcast clouds
251,251,Isangel,VU,-19.55,169.2667,79.74,72,3,10.27,clear sky
252,252,Puerto Leguizamo,CO,-0.1934,-74.7819,71.65,99,100,1.03,overcast clouds
254,254,Kruisfontein,ZA,-34.0033,24.7314,62.87,54,3,5.61,clear sky
255,255,Broome,US,42.2506,-75.833,65.17,35,0,5.75,clear sky
257,257,Gedo,ET,9.0167,37.45,56.8,35,79,2.28,broken clouds
259,259,Sikonge,TZ,-5.6333,32.7667,65.7,71,77,6.29,broken clouds
260,260,Garowe,SO,8.4054,48.4845,83.05,63,2,12.86,clear sky
262,262,Port-Gentil,GA,-0.7193,8.7815,82.36,89,75,3.44,thunderstorm
263,263,Brainerd,US,46.358,-94.2008,66.49,30,0,4.61,clear sky
264,264,San Cristobal,VE,7.7669,-72.225,77.18,80,100,4.29,overcast clouds
266,266,Tabora,TZ,-5.0167,32.8,69.01,63,97,6.93,overcast clouds
267,267,Waipawa,NZ,-41.4122,175.5153,58.98,76,6,1.9,clear sky
268,268,Fort Nelson,CA,58.8053,-122.7002,54.99,24,75,5.75,shower rain
269,269,Boca Do Acre,BR,-8.7522,-67.3978,79.84,69,97,1.21,overcast clouds
270,270,Mahibadhoo,MV,3.7833,72.9667,82.56,77,100,10.98,overcast clouds
271,271,Ambon,ID,-3.6954,128.1814,77.14,94,40,4.61,scattered clouds
274,274,Necochea,AR,-38.5473,-58.7368,58.91,66,77,9.6,broken clouds
277,277,Sinnamary,GF,5.3833,-52.95,78.51,88,85,8.63,overcast clouds
279,279,Dingle,PH,10.9995,122.6711,77.94,87,80,6.76,broken clouds
282,282,Trinidad,BO,-14.8333,-64.9,80.58,41,2,3.44,clear sky
283,283,Cayenne,GF,4.9333,-52.3333,79.09,1,75,3.44,broken clouds
285,285,Masallatah,LY,32.6167,14.0,74.35,34,79,24.0,broken clouds
286,286,Camana,PE,-16.6228,-72.7111,69.26,80,10,7.83,clear sky
288,288,Pemba,MZ,-12.974,40.5178,77.7,83,75,5.75,broken clouds
289,289,Port Blair,IN,11.6667,92.75,82.54,76,99,6.55,overcast clouds
290,290,Ritchie,ZA,-29.038,24.6028,51.01,33,0,5.39,clear sky
293,293,Qom,IR,34.6401,50.8764,67.1,53,46,4.34,scattered clouds
294,294,Olympia,US,47.0379,-122.9007,52.83,93,100,11.5,moderate rain
296,296,Bowen,AU,-20.0167,148.2333,73.36,87,4,4.68,clear sky
297,297,Muros,ES,42.7762,-9.0603,59.09,77,6,10.04,clear sky
298,298,Gamba,GA,-2.65,10.0,78.15,93,88,5.1,overcast clouds
300,300,Soyo,AO,-6.1349,12.3689,78.49,86,93,7.63,overcast clouds
301,301,Tezu,IN,27.9167,96.1667,69.13,78,6,4.27,clear sky
302,302,Palmer,US,42.1584,-72.3287,69.66,28,75,3.0,broken clouds
303,303,Yinchuan,CN,38.4681,106.2731,57.38,28,85,14.58,overcast clouds
304,304,Lagunas,PE,-5.2269,-75.6753,75.87,78,97,2.08,overcast clouds
305,305,Mana,GF,5.6592,-53.7767,78.31,87,95,7.4,overcast clouds
306,306,Iracoubo,GF,5.4802,-53.2011,78.66,87,98,8.57,overcast clouds
309,309,Bolec,RS,44.7247,20.6033,61.52,65,60,5.75,light rain
310,310,Athabasca,CA,54.7169,-113.2854,68.41,45,100,11.9,overcast clouds
311,311,Cabedelo,BR,-6.9811,-34.8339,77.67,80,99,12.59,overcast clouds
315,315,Port Hueneme,US,34.1478,-119.1951,84.06,71,75,9.22,broken clouds
318,318,San Andres,CO,12.5847,-81.7006,84.22,79,100,8.05,overcast clouds
319,319,Concordia,AR,-31.393,-58.0209,63.79,84,93,4.07,overcast clouds
322,322,Kaeo,NZ,-35.1,173.7833,64.33,89,65,8.37,broken clouds
323,323,Rabo De Peixe,PT,37.8,-25.5833,66.27,70,40,14.97,scattered clouds
324,324,Alugan,PH,12.2188,125.4808,80.69,83,99,7.94,overcast clouds
325,325,Windsor,CA,42.3001,-83.0165,61.14,78,20,9.22,few clouds
326,326,Silawit,PH,16.8789,121.7564,75.18,85,17,3.06,few clouds
329,329,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,66,40,13.8,scattered clouds
332,332,Kavaratti,IN,10.5669,72.642,84.7,73,100,12.28,overcast clouds
333,333,Aksu,CN,41.1231,80.2644,73.29,23,94,5.32,overcast clouds
336,336,Buzovna,AZ,40.5179,50.1139,59.09,63,0,18.41,clear sky
337,337,Wheeling,US,42.1392,-87.929,55.0,87,100,9.22,light rain
338,338,Kathmandu,NP,27.7167,85.3167,66.42,88,75,2.3,broken clouds
340,340,Atherton,GB,53.5237,-2.4935,56.75,84,57,1.43,broken clouds
341,341,Conde,BR,-7.2597,-34.9075,76.46,94,75,2.3,broken clouds
342,342,Quatre Cocos,MU,-20.2078,57.7625,76.08,82,45,21.34,light rain
343,343,Kalengwa,ZM,-13.4659,25.0027,59.63,75,19,5.12,few clouds
344,344,Wembley,AU,-31.9333,115.8,56.08,59,0,13.8,clear sky
348,348,Banff,CA,51.1762,-115.5698,61.83,36,97,5.75,overcast clouds
350,350,Bandarbeyla,SO,9.4942,50.8122,80.74,89,1,8.9,clear sky
353,353,Ekibastuz,KZ,51.6667,75.3667,54.05,75,8,10.13,clear sky
354,354,Arkhipo-Osipovka,RU,44.37,38.52,50.23,89,100,12.39,overcast clouds
355,355,Rawson,AR,-43.3002,-65.1023,62.76,47,75,8.37,broken clouds
357,357,Auki,SB,-8.7676,160.7034,82.71,70,10,3.0,clear sky
358,358,Jacareacanga,BR,-6.2222,-57.7528,74.84,97,25,2.15,heavy intensity rain
359,359,Barmer,IN,25.75,71.3833,82.94,37,19,10.25,few clouds
360,360,Charters Towers,AU,-20.1,146.2667,72.01,62,0,6.93,clear sky
362,362,Bella Vista,US,36.4295,-94.2316,63.5,97,100,10.36,mist
363,363,Craig,US,40.5153,-107.5464,64.35,32,0,10.63,clear sky
365,365,Northam,GB,51.0333,-4.2167,52.61,90,53,5.48,broken clouds
368,368,Inhambane,MZ,-23.865,35.3833,68.7,91,1,5.82,clear sky
369,369,Lompoc,US,34.6391,-120.4579,83.7,71,0,18.41,clear sky
370,370,San Policarpo,PH,12.1791,125.5072,81.28,81,97,8.5,overcast clouds
371,371,Athens,GR,37.9795,23.7162,64.18,66,20,4.0,few clouds
372,372,Piedade,BR,-23.7119,-47.4278,58.73,92,96,5.46,overcast clouds
375,375,Yeppoon,AU,-23.1333,150.7333,73.18,88,8,6.85,clear sky
377,377,Iquitos,PE,-3.7481,-73.2472,77.04,88,75,3.44,broken clouds
379,379,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,0,13.8,clear sky
382,382,Samarai,PG,-10.6167,150.6667,82.87,77,74,8.79,broken clouds
384,384,Boende,CD,-0.2167,20.8667,72.05,99,100,2.26,light rain
385,385,Lanzhou,CN,36.0564,103.7922,65.12,39,14,3.85,few clouds
386,386,Warri,NG,5.5167,5.75,78.24,91,87,3.27,overcast clouds
387,387,Rongcheng,CN,30.634,117.8517,66.78,68,0,3.33,clear sky
388,388,Lata,PT,40.1629,-8.3327,55.02,83,3,0.34,clear sky
389,389,Debre Sina,ET,9.85,39.7667,54.34,43,7,3.29,clear sky
390,390,Ambam,CM,2.3833,11.2833,70.5,99,100,1.81,moderate rain
393,393,Katsuura,JP,35.1333,140.3,66.34,70,100,7.76,overcast clouds
394,394,Sangin,AF,32.0728,64.8359,72.91,17,0,4.74,clear sky
395,395,Gizo,SB,-8.103,156.8419,84.11,70,72,5.28,broken clouds
396,396,Zyryanovsk,KZ,49.7386,84.2719,50.99,69,100,1.39,overcast clouds
398,398,Mpika,ZM,-11.8343,31.4529,55.6,94,69,3.71,broken clouds
399,399,Otane,NZ,-39.8833,176.6333,59.02,66,0,0.65,clear sky
400,400,Siuna,NI,13.7332,-84.7773,78.22,92,86,3.44,overcast clouds
402,402,Changde,CN,29.0464,111.6783,69.06,72,82,4.61,broken clouds
403,403,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,81,100,12.66,overcast clouds
404,404,Dunedin,NZ,-45.8742,170.5036,62.06,63,61,2.55,broken clouds
405,405,Saquarema,BR,-22.92,-42.5103,75.34,80,14,14.07,few clouds
406,406,Kibaya,TZ,-5.3,36.5667,58.6,90,67,4.97,broken clouds
407,407,Arrecife,ES,28.963,-13.5477,66.18,77,20,16.11,few clouds
408,408,Polson,US,47.6936,-114.1632,65.21,45,100,0.6,overcast clouds
409,409,Poum,NC,-20.2333,164.0167,78.89,73,67,10.18,broken clouds
410,410,Graham,US,47.0529,-122.2943,52.03,87,0,9.22,light intensity drizzle
412,412,Obera,AR,-27.4871,-55.1199,57.34,97,0,2.59,clear sky
413,413,North Bend,US,43.4065,-124.2243,59.23,96,100,18.41,mist
